Zipcode,SiteName,SiteType,Longitude,Latitude
78705,San Miguel Management,Multifamily,-97.75048641,30.28868985
78705,TPCO,Multifamily,-97.75023504,30.29006698
78705,San Miguel Management,Multifamily,-97.74461305,30.28645112
78705,Lee Properties,Multifamily,-97.74746147,30.28468462
78705,EDR Trust,Multifamily,-97.74343837,30.2882158
78705,American Campus Communities,Multifamily,-97.74342091,30.28494112
78705,CWS,Multifamily,-97.74649449,30.29099695
78705,CWS,Multifamily,-97.74745612,30.28842124
78705,Lauren Levy,Multifamily,-97.74556505,30.290957399999996
78705,CA Ventures,Multifamily,-97.7481753,30.29058927
78705,American Campus Communities,Multifamily,-97.74618319,30.28329642
78705,Other,Multifamily,-97.74790896,30.28523998
78705,Cardinal Group,Multifamily,-97.74783117,30.28947518
78705,Scion Group,Multifamily,-97.74312525,30.28418536
78705,Campus Advantage,Multifamily,-97.743507,30.286358
78705,Other,Multifamily,-97.74277481,30.28932076
78705,Arthur Walston,Multifamily,-97.74789193,30.28884358
78721,Worth Ross Management Company,Multifamily,-97.73904084,30.25839343
78756,Amli Residential,Multifamily,-97.74045001,30.32758219
78751,Texan Properties,Multifamily,-97.7301367,30.31935183
78704,MAA,Multifamily,-97.76452548,30.25255817
78704,Windsor Communities,Multifamily,-97.76017251,30.25726086
78704,CWS,Multifamily,-97.78470969,30.24161307
78704,Greystar,Multifamily,-97.76185675,30.25598205
78756,Camden,Multifamily,-97.72936801,30.32212319
78704,Greystar,Multifamily,-97.76226679,30.25408947
78756,Greystar,Multifamily,-97.73956929,30.3301222
78704,Greystar,Multifamily,-97.76731465,30.22898414
78704,MAA,Multifamily,-97.76384153,30.25292514
78702,Greystar,Multifamily,-97.71947202,30.26156702
78757,CWS,Multifamily,-97.73800308,30.34264313
78741,Pegasus Residential,Multifamily,-97.708361,30.223744
78704,Bell Parnters,Multifamily,-97.78107159999999,30.24411799
78702,Alexan Properties,Multifamily,-97.71570636,30.25969828
78702,Cap Tex Properties,Multifamily,-97.732261,30.26434589
78702,Cap Tex Properties,Multifamily,-97.72924445,30.26161922
78702,Matrix Residential,Multifamily,-97.72514289,30.26085182
78702,Lincoln Property Company,Multifamily,-97.72548725,30.26251461
78704,Saint Louise House,Multifamily,-97.78530304,30.2419701
78705,Asset Campus Housing,Multifamily,-97.74492906,30.28285304
78751,Other,ADU,-97.71696523,30.31829292
78702,PRAK Property Management,Multifamily,-97.70220995,30.27644664
78702,Guadalupe Neighborhood Development Corporation,Single Family,-97.73283499,30.268072600000004
78705,Spaces Management,Multifamily,-97.749342,30.290996000000003
78747,Other,Multifamily,-97.76854200000001,30.152821999999997
78747,Other,Multifamily,-97.754254,30.157256
78749,Housing Authority of Travis County,Duplex,-97.851947,30.233793
78754,Other,Multifamily,-97.67551999999999,30.348196
78617,Other,Multifamily,-97.633937,30.205647999999997
78702,Guadalupe Neighborhood Development Corporation,Duplex,-97.727998,30.265970000000003
78705,Aspen Heights,Multifamily,-97.744783,30.283589000000003
78705,Cardinal Group,Multifamily,-97.743338,30.289641999999997
78705,Central Properties,Multifamily,-97.74771199999999,30.285403000000002
78753,Other,Multifamily,-97.681344,30.364434999999997
78722,Blackland Community Development Corporation,Single Family,-97.722755,30.282992999999998
78758,Other,Multifamily,-97.718506,30.389515999999997
78745,Foundation Communities,Multifamily,-97.792919,30.198406
78702,Lincoln Property Company,Multifamily,-97.724864,30.262479
78702,Lincoln Property Company,Multifamily,-97.732588,30.263744
78752,Greystar,Multifamily,-97.71599499999999,30.326874
78723,DMA Companies,Multifamily,-97.701803,30.304204
78704,Greystar,Multifamily,-97.787767,30.238968
78741,Grayco Partners,Multifamily,-97.727183,30.243505
78753,Pedcor Management Company,Multifamily,-97.65079300000001,30.390822999999997
78753,Portico Property Management,Multifamily,-97.65079300000001,30.390822999999997
78748,JCI Residential,Multifamily,-97.806329,30.123555
78652,Other,Multifamily,-97.80475600000001,30.123941
78745,Frameworks Community Development Corporation,FourPlex,-97.80452,30.226519
78745,Pedcor Management Company,Multifamily,-97.832658,30.192696999999995
78741,Other,Multifamily,-97.705841,30.231371000000003
78705,Other,Multifamily,-97.745293,30.284271999999998
78702,Guadalupe Neighborhood Development Corporation,Duplex,-97.702958,30.269889000000003
78702,Guadalupe Neighborhood Development Corporation,Duplex,-97.70300999999999,30.269795000000002
78702,Guadalupe Neighborhood Development Corporation,Duplex,-97.703051,30.269696999999997
78702,Guadalupe Neighborhood Development Corporation,Duplex,-97.703096,30.269601
78702,Guadalupe Neighborhood Development Corporation,Multifamily,-97.703014,30.269267
78705,Other,Multifamily,-97.744188,30.285401
78723,Greystar,Multifamily,-97.707922,30.298876
78723,Greystar,Multifamily,-97.70043000000001,30.3007
78723,Amli Residential,Multifamily,-97.703698,30.29717
78723,Amli Residential,Multifamily,-97.702038,30.302391999999998
78723,Sync Residential,Multifamily,-97.707066,30.299165999999996
78754,NRP Group,Multifamily,-97.643651,30.406351
78751,Greystar,Multifamily,-97.71938399999999,30.321814
78701,Other,Multifamily,-97.738824,30.256483000000003
78702,Lincoln Property Company,Multifamily,-97.725487,30.26298
78758,UDR,Multifamily,-97.72493,30.400623
78758,Lincoln Property Company,Multifamily,-97.725756,30.396506
78757,Other,Single Family,-97.728433,30.338875
78701,Hanover Company,Multifamily,-97.749563,30.265385
78741,Amli Residential,Multifamily,-97.73006600000001,30.245116999999997
